VEICULO,TIPO CHASSI,TIPO DE VEICULO,MODELO/TIPO,AMARELA,VERDE,DOURADA,CAPACIDADE TANQUE
40394,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40395,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40396,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40398,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40399,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40400,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40404,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40405,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40407,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40408,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40409,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40410,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40411,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40416,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40424,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40433,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40435,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
40436,MBB OF 1721 - CONVENCIONAL,CONVENCIONAL,MBB OF 1721 - CONVENCIONAL,2.31,2.42,2.54,300
21050,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21051,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21052,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21053,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21054,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21055,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21056,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21057,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21058,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21059,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21060,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21061,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21062,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21119,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21120,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21124,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21126,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21116,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21122,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21127,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21123,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21118,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21128,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21125,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21130,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21129,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21117,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
21121,VOLKS 17.230 - CONVENCIONAL - AR,CONVENCIONAL,VOLKS 17.230 - CONVENCIONAL - AR,2.07,2.17,2.27,300
